legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Cole, George F.",,1,D,"Seaside, Clatsop",Male,28,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Crothers, Morris K.",,11,R,"Salem, Marion",Male,11,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Davis, Robert G.",Speaker Pro Tempore,19,R,"Medford, Jackson",Male,50,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Day, L. B.",,11,R,"Salem, Marion",Male,27,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Detering, Gerald W.",,12,R,"Harrisburg, Linn",Male,46,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Dielschneider, William",,22,R,"The Dalles, Hood River, Wasco",Male,30,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Dugdale, Robert E.",,6,R,"Portland, Multnomah",Male,8,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Elliott, Robert A.",,6,R,"Portland, Multnomah",Male,29,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Eymann, Richard",,13,D,"Springfield, Lane",Male,36,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Frost, David G.",,4,R,"Hillsboro, Washington",Male,51,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Graham, Douglas W.",,6,R,"Portland, Multnomah",Male,23,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Groener, Richard E. (Dick)",,7,D,"Milwaukie, Clackamas",Male,47,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Gwinn, William F.",,12,R,"Albany, Linn",Male,14,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Haas, Harl H.",,6,D,"Portland, Multnomah",Male,17,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Hanneman, Paul A.",,3,R,"Cloverdale, Tillamook",Male,52,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Hansell, Stafford",,23,R,"Hermiston, Umatilla",Male,10,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Hart, Floyd H.",,19,R,"Medford, Jackson",Male,9/57,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Hartung, Tom",,4,R,"Portland, Washington",Male,44,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Heard, Fred W.",,27,D,"Klamath Falls, Klamath, Lake",Male,25,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Howard, Norman R.",,6,D,"Portland, Multnomah",Male,41,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Howe, Carrol B.",,20,R,"Klamath Falls, Klamath",Male,15,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Ingalls, Robert C.",,10,R,"Corvallis, Benton",Male,16,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Johnson, Sam",,21,R,"Redmond, Crook, Deschutes, Jefferson",Male,54,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Kennedy, Richard L.",,13,D,"Eugene, Lane",Male,49,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Lang, Philip D.",,6,D,"Portland, Multnomah",Male,26,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Macpherson, Gordon L.",,8,R,"Waldport, Lincoln",Male,31,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Mann, Irvin, Jr.",,28,R,"Stanfield, Gilliam, Morrow, Sherman, Umatilla, Wheeler",Male,35,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Markham, William E.",,15,R,"Riddle, Douglas",Male,40,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Martin, Roger E.",,7,R,"Lake Oswego, Clackamas",Male,42,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"McCready, Constance",,6,R,"Portland, Multnomah",Female,38,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"McGilvra, Hugh",,4,R,"Forest Grove, Washington",Male,18,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"McKenzie, Rod T.",,17,R,"Sixes, Coos, Curry",Male,60,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Meeker, Anthony",,5,R,"Amity, Yamhill",Male,32,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Peck, Grace Olivier",,6,D,"Portland, Multnomah",Female,55,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Priestley, Wally S.",,6,D,"Portland, Multnomah",Male,20,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Pynn, Allen B.",,7,R,"West Linn, Clackamas",Male,33,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Richards, Joe B.",,13,R,"Eugene, Lane",Male,19,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Ripper, Jack",,16,D,"North Bend, Coos",Male,37,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Roberts, Frank L.",,6,D,"Portland, Multnomah",Male,48,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Rogers, Joe",,9,R,"Independence, Polk",Male,3,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Skelton, Keith D.",,6,D,"Portland, Multnomah",Male,4,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Smith, Robert F.",Speaker,26,R,"Burns, Harney, Malheur",Male,56,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Stathos, Donald L.",,19,R,"Jacksonville, Jackson",Male,59,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Stevenson, William H. (Bill)",,6,D,"Portland, Multnomah",Male,53,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Thornton, Leo M.",,7,R,"Milwaukie, Clackamas",Male,58,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Turner, Wayne",,2,D,"St. Helens, Columbia",Male,39,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Willits, Howard",,6,D,"Portland, Multnomah",Male,45,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Wilson, Don",,14,R,"Eugene, Benton, Lane",Male,22,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Wilson, M. Keith",,24,D,"Joseph, Union, Wallowa",Male,9,,"Keith M. Wilson resigned on April 11, 1969. Gwen T. Coffin was appointed on April 17, 1969 to fill the vacancy.","Session : 1969 Session - January 13-May 23, 1969 (61)"
"Wingard, George F.",,13,R,"Eugene, Lane",Male,34,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Young, Thomas F.",,25,R,"Baker, Baker, Grant",Male,24,,,"Session : 1969 Session - January 13-May 23, 1969 (61)"
"Anunsen, John W.",,11,R,"Salem, Marion",Male,1,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Bazett, Sidney",,18,R,"Grants Pass, Josephine",Male,6,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Bedingfield, James B.",,16,R,"Coos Bay, Coos",Male,8,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Bennett, J. E. (Jake)",,6,D,"Portland, Multnomah",Male,56,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Bessonette, Tom",,25,R,"Baker, Baker, Grant",Male,33,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Boe, Jason D.",,15,D,"Reedsport, Douglas",Male,37,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Bradley, Bill",,6,D,"Portland, Multnomah",Male,21,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Carson, Wallace P.",,11,R,"Salem, Marion",Male,12,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Chuinard, E. G. (Fritzi)",,6,R,"Portland, Multnomah",Female,7,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Crothers, Morris K.",,11,R,"Salem, Marion",Male,11,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Davis, Robert G.",,19,R,"Medford, Jackson",Male,17,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Day, L. B.",,11,D,"Salem, Marion",Male,25,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Detering, Gerald W.",,12,R,"Harrisburg, Linn",Male,46,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Elder, Edward W.",,13,R,"Eugene, Lane",Male,38,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Elliott, Robert A. (Bob)",,6,R,"Portland, Multnomah",Male,29,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Flitcraft, George C.",,27,R,"Klamath Falls, Lake, Klamath",Male,58,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Frost, David",,4,R,"Hillsboro, Washington",Male,28,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Graham, Marva",,6,R,"Portland, Multnomah",Female,23,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Guynes, J. Ralph",,7,D,"West Linn, Clackamas",Male,13,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Gwinn, William F.",,12,R,"Albany, Linn",Male,14,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Hanneman, Paul A.",,3,R,"Cloverdale, Tillamook",Male,52,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Hansell, Stafford",,23,R,"Hermiston, Umatilla",Male,10,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Harlan, Dale M.",,7,D,"Milwaukie, Clackamas",Male,19,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Hart, Floyd H. (Hank)",,19,R,"Medford, Jackson",Male,9,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Hartung, Tom",,4,R,"Portland, Washington",Male,44,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Holmstrom, William H.",,1,D,"Gearhart, Clatsop",Male,47,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Howard, Norman R.",,6,D,"Portland, Multnomah",Male,41,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Howe, Carrol B.",,20,R,"Klamath Falls, Klamath",Male,15,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Jernstedt, Kenneth A.",,22,R,"Hood River, Hood River, Wasco",Male,31,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Johnson, Lee",,6,R,"Portland, Multnomah",Male,57,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Johnson, Sam",,21,R,"Redmond, Crook, Deschutes, Jefferson",Male,54,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Kennedy, Richard L.",,13,D,"Eugene, Lane",Male,49,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Lang, Philip D.",,6,D,"Portland, Multnomah",Male,26,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Leiken, Sidney",,15,D,"Roseburg, Douglas",Male,60,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Lewis, Harold V.",,5,D,"McMinnville, Yamhill",Male,40,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Mann, Irvin",,28,R,"Stanfield, Gilliam, Morrow, Sherman, Umatilla, Wheeler",Male,24,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Martin, Roger E.",,7,R,"Lake Oswego, Clackamas",Male,34,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"McCready, Constance",,6,R,"Portland, Multnomah",Female,2,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"McGilvra, Hugh",,4,R,"Forest Grove, Washington",Male,18,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"McKenzie, Roderick T.",,17,R,"Sixes, Curry, Coos",Male,32,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"McKinnis, Donald",,24,D,"Summerville, Union, Wallowa",Male,16,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Meek, Fred",,6,R,"Portland, Multnomah",Male,35,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Montgomery, F. F. (Monte)",Speaker,13,R,"Eugene, Lane",Male,5,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Ouderkirk, W. (Stan)",,8,R,"Newport, Lincoln",Male,43,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Packwood, Robert W.",,6,R,"Portland, Multnomah",Male,27,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Peck, Grace Olivier",,6,D,"Portland, Multnomah",Female,55,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Priestley, Wally S.",,6,D,"Portland, Multnomah",Male,20,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Redden, James A.",Minority Leader,19,D,"Medford, Jackson",Male,50,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Richards, Joe B.",,13,R,"Eugene, Lane",Male,42,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Roberts, Betty R.",,6,D,"Portland, Multnomah",Female,36,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Roberts, Frank L.",,6,D,"Portland, Multnomah",Male,48,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Rogers, Joe",,9,R,"Independence, Polk",Male,3,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Skelton, Keith D.",,13,D,"Eugene, Lane",Male,4,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Smith, Loren J.",,10,R,"Corvallis, Benton",Male,30,,"Loren Smith was appointed to fill the vacancy of C. R. Hoyt who was appointed on January 7, 1967 to the Senate.","Session : 1967 Session - January 9-June 14, 1967 (60)"
"Smith, Robert F.",Speaker Pro Tempore,26,R,"Burns, Harney, Malheur",Male,51,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Stevenson, William. H. (Bill)",,6,D,"Portland, Multnomah",Male,53,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Thornton, Leo",,7,R,"Milwaukie, Clackamas",Male,59,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Turner, Wayne",,2,D,"St. Helens, Columbia",Male,39,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Willits, Howard D.",,6,D,"Portland, Multnomah",Male,45,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Wilson, Don",,14,R,"Eugene, Benton, Lane",Male,22,,,"Session : 1967 Session - January 9-June 14, 1967 (60)"
"Anunsen, Jack W.",,11,R,"Salem, Marion",Male,2,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Back, Carl",,17,D,"Port Orford, Coos, Curry",Male,31,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Bateson, Cornelius C.",,11,D,"Salem, Marion",Male,53,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Bazett, Sidney",,18,R,"Grants Pass, Josephine",Male,6,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Bedingfield, James B., Jr.",,16,R,"Coos Bay, Coos",Male,23,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Bennett, J. E. (Jake)",,6,D,"Portland, Multnomah",Male,22,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Bessonette, Thomas A.",,25,R,"Baker, Grant, Baker",Male,33,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Boe, Jason D.",,15,D,"Reedsport, Douglas",Male,37,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Branchfield, Edward",,19,R,"Medford, Jackson",Male,17,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Chuinard, E. G. (Fritzi)",,6,R,"Portland, Multnomah",Female,7,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Crothers, Morris",,11,R,"Salem, Marion",Male,11,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Day, L. B.",,11,D,"Salem, Marion",Male,25,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Dellenback, John R.",,19,R,"Medford, Jackson",Male,8,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Detering, Gerald W.",,12,R,"Harrisburg, Linn",Male,34,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Elder, Edward W.",,13,R,"Eugene, Lane",Male,46,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Field, Shirley",,6,R,"Portland, Multnomah",Female,27,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Flitcraft, George C.",,27,R,"Klamath Falls, Klamath, Lake",Male,58,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Gallagher, William J.",,6,R,"Portland, Multnomah",Male,42,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Groener, Richard E.",,7,D,"Milwaukie, Clackamas",Male,48,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Gwinn, William F.",,12,R,"Albany, Linn",Male,14,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Hand, Beulah",,7,D,"Milwaukie, Clackamas",Female,38,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Hanneman, Paul A.",,3,R,"Cloverdale, Tillamook",Male,52,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Hansell, Stafford",,23,R,"Hermiston, Umatilla",Male,10,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Harlan, Dale Morgan",,7,D,"Milwaukie, Clackamas",Male,19,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Holmstrom, William H.",,1,D,"Gearhart, Clatsop",Male,47,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Howard, Norman R.",,1,D,"Portland, Multnomah",Male,41,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Howe, Carrol B.",,20,R,"Klamath Falls, Klamath",Male,9,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Hoyt, C. R.",,10,R,"Corvallis, Benton",Male,30,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Johnson, Lee",,6,R,"Portland, Multnomah",Male,29,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Johnson, Sam",,21,R,"Redmond, Crook, Deschutes, Jefferson",Male,21,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Kennedy, Richard L.",,13,D,"Eugene, Lane",Male,49,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Lang, Philip D.",,6,D,"Portland, Multnomah",Male,26,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Leiken, Sidney",,15,D,"Roseburg, Douglas",Male,60,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Lent, Berkeley",,6,D,"Portland, Multnomah",Male,59,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Lewis, Harold V.",,5,D,"McMinnville, Yamhill",Male,40,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Mann, Irvin, Jr.",,28,R,"Stanfield, Gilliam, Morrow, Wheeler, Sherman, Umatilla",Male,24,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"McGilvra, Hugh",,4,R,"Forest Grove, Washington",Male,18,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"McKinnis, Donald",,24,D,"Summerville, Union, Wallowa",Male,16,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Meek, Fred",,6,R,"Portland, Multnomah",Male,35,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Montgomery, F. F. (Monte)",Speaker,13,R,"Eugene, Lane",Male,56,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Morgan, Ross",Minority Leader,6,D,"Gresham, Multnomah",Male,43,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Mosser, John D.",,4,R,"Portland, Washington",Male,5,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Musa, Katherine",,22,D,"The Dalles, Wasco, Hood River",Female,15,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Orr, Juanita N.",,7,D,"Lake Grove, Clackamas",Female,1,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Ouderkirk, W. (Stan)",,8,R,"Newport, Lincoln",Male,44,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Packwood, Robert W.",,6,R,"Portland, Multnomah",Male,32,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Paxson, Elwin",,4,R,"Portland, Washington",Male,28,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Peck, Grace Olivier",,6,D,"Portland, Multnomah",Female,55,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Priestley, Wally",,6,D,"Portland, Multnomah",Male,20,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Redden, James A.",,19,D,"Medford, Jackson",Male,50,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Richards, Joe B.",,13,R,"Eugene, Lane",Male,12,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Roberts, Betty R.",,6,D,"Portland, Multnomah",Female,36,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Rogers, Joe",,9,R,"Independence, Polk",Male,3,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Skelton, Keith D.",,13,D,"Eugene, Lane",Male,4,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Smith, Robert F.",Speaker Pro Tempore,26,R,"Burns, Harney, Malheur",Male,51,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
"Turner, Wayne",,2,D,"St. Helens, Columbia",Male,39,,,"Session : 1965 Special Session - May 21-May 25, 1965 (60)"
